face_shape,interocular_category,nose_category,hairstyle_suggestions,beard_suggestions
oval,narrow,narrow,"versatile styles; soft layers; side-part; avoid heavy center fringe; add temple volume; softer textures","stubble; light beard edges; avoid heavy mustache"
oval,narrow,average,"versatile styles; soft layers; side-part; avoid heavy center fringe; add temple volume","balanced beard; short boxed beard"
oval,narrow,wide,"versatile styles; soft layers; side-part; avoid heavy center fringe; add temple volume; balance wide nose with side volume","elongated boxed beard; avoid thick mustache"
oval,average,narrow,"versatile styles; soft layers; side-part; softer textures for delicate nose","stubble or soft boxed beard; avoid bulky chin beard"
oval,average,average,"versatile styles; soft layers; side-part","most beard styles; stubble works best"
oval,average,wide,"versatile styles; soft layers; side-part; balance wide nose with longer layers","fuller chin beard; boxed style; mustache optional"
oval,wide,narrow,"versatile styles; soft layers; center part works; softer textures for delicate nose","short boxed beard; soft stubble; mustache okay"
oval,wide,average,"versatile styles; soft layers; center part works","balanced beard; fuller mustache suits wide-set eyes"
oval,wide,wide,"versatile styles; soft layers; center part works; balance wide nose with side fullness","elongated chin beard; boxed beard; mustache balances"
round,narrow,narrow,"volume at crown; longer layers; avoid blunt cuts; avoid heavy center fringe; softer textures","angular beard; soft goatee; avoid thick mustache"
round,narrow,average,"volume at crown; longer layers; avoid blunt cuts; avoid heavy center fringe","angular beard; short boxed beard"
round,narrow,wide,"volume at crown; longer layers; avoid blunt cuts; avoid heavy center fringe; balance wide nose with side volume","elongated goatee; boxed chin beard"
round,average,narrow,"volume at crown; longer layers; avoid blunt cuts; softer textures","angular beard; light stubble to balance delicate nose"
round,average,average,"volume at crown; longer layers; avoid blunt cuts","angular beard; goatee; avoid full round beard"
round,average,wide,"volume at crown; longer layers; avoid blunt cuts; balance wide nose with layers","elongated chin beard; boxed beard"
round,wide,narrow,"volume at crown; longer layers; avoid blunt cuts; center part okay; softer textures","short boxed beard; fuller mustache works"
round,wide,average,"volume at crown; longer layers; avoid blunt cuts; center part okay","angular beard; boxed style with mustache"
round,wide,wide,"volume at crown; longer layers; avoid blunt cuts; center part okay; balance wide nose with volume","elongated beard; mustache complements wide-set eyes"
square,narrow,narrow,"soft layers; side-swept fringe; avoid flat cuts; avoid heavy center fringe; softer layers","rounded beard; stubble; avoid thick mustache"
square,narrow,average,"soft layers; side-swept fringe; avoid flat cuts; avoid heavy center fringe","rounded beard; short boxed style"
square,narrow,wide,"soft layers; side-swept fringe; avoid flat cuts; avoid heavy center fringe; balance wide nose with fullness","elongated boxed beard; fuller chin beard"
square,average,narrow,"soft layers; side-swept fringe; avoid flat cuts; softer textures","rounded beard; soft stubble"
square,average,average,"soft layers; side-swept fringe; avoid flat cuts","rounded beard; avoid heavy square jaw beard"
square,average,wide,"soft layers; side-swept fringe; avoid flat cuts; balance wide nose with jawline volume","elongated chin beard; boxed beard"
square,wide,narrow,"soft layers; side-swept fringe; avoid flat cuts; center part acceptable; softer textures","rounded beard; fuller mustache okay"
square,wide,average,"soft layers; side-swept fringe; avoid flat cuts; center part acceptable","rounded beard; boxed beard with mustache"
square,wide,wide,"soft layers; side-swept fringe; avoid flat cuts; center part acceptable; balance wide nose","elongated boxed beard; fuller chin + mustache"
oblong,narrow,narrow,"shorter top; fuller sides; side bangs; avoid heavy center fringe; softer textures","fuller sides; soft stubble; avoid heavy mustache"
oblong,narrow,average,"shorter top; fuller sides; side bangs; avoid heavy center fringe","fuller sides; short boxed beard"
